
Rel err(%)               x 


0.0                      0.0 

1.91021063268918e-06     0.02040816326530612 

0.00010285738651854685     0.04081632653061224 

8.200820864795791e-05     0.061224489795918366 

1.1128913508319986e-05     0.08163265306122448 

0.00010728599147121666     0.1020408163265306 

9.662007133292274e-05     0.12244897959183673 

3.72236485761844e-05     0.14285714285714285 

0.00010322076809387369     0.16326530612244897 

0.0                        0.18367346938775508 

6.0462938078953714e-05     0.2040816326530612 

0.0001238397129474344     0.22448979591836732 

1.9518902244993136e-05     0.24489795918367346 

9.399632851013694e-05     0.26530612244897955 

0.00010050158497990457     0.2857142857142857 

3.596249737050232e-06     0.3061224489795918 

0.00010488481336945955     0.32653061224489793 

7.144153423668441e-05     0.3469387755102041 

6.390855953498021e-05     0.36734693877551017 

0.00012815788192897454     0.3877551020408163 

7.114835352211874e-05     0.4081632653061224 

5.2447175321785045e-05     0.42857142857142855 

0.0001021371215072409     0.44897959183673464 

1.9322863846602573e-05     0.4693877551020408 

0.00013363364756555627     0.4897959183673469 

0.00013130177967253667     0.5102040816326531 

2.12512838627756e-05     0.5306122448979591 

8.827770347859135e-05     0.5510204081632653 

2.8931051114941593e-05     0.5714285714285714 

0.00011654505392745292     0.5918367346938775 

0.00017544735254660683     0.6122448979591836 

0.00010335477946223906     0.6326530612244897 

3.13554900835356e-05     0.6530612244897959 

6.280240979383023e-05     0.673469387755102 

8.053591901520285e-05     0.6938775510204082 

0.00019737674463828994     0.7142857142857142 

0.00018176178712608185     0.7346938775510203 

5.408306713529368e-05     0.7551020408163265 

5.4679259446395895e-05     0.7755102040816326 

3.5193134936079644e-05     0.7959183673469387 

0.00019408761392567846     0.8163265306122448 

0.0002457018046467699     0.836734693877551 

0.00015375327404573645     0.8571428571428571 

6.3221892877842195e-06     0.8775510204081632 

1.4690883913152154e-06     0.8979591836734693 

0.00016726122753122404     0.9183673469387754 

0.00028648443658062396     0.9387755102040816 

0.0002534842761628239     0.9591836734693877 

0.00010462825992349332     0.9795918367346939 

0.0                        1.0 
